20110930.000000,386.000000,320.000000,2699.714829,2629.000000,1.240000,1365.000000,75.000000,0.000000
20111001.000000,409.000000,365.000000,2393.735583,2502.000000,1.180000,1408.000000,32.000000,0.000000
20111002.000000,447.000000,352.000000,2461.422942,2967.000000,1.400000,1374.000000,40.000000,26.000000
20111003.000000,542.000000,409.000000,2501.491224,2485.000000,1.230000,1378.000000,61.000000,1.000000
20111004.000000,322.000000,232.000000,2494.202675,2448.000000,1.210000,1376.000000,64.000000,0.000000
20111005.000000,382.000000,360.000000,2576.730325,2702.000000,1.330000,1334.000000,106.000000,0.000000
20111006.000000,371.000000,311.000000,2583.235254,2489.000000,1.230000,1369.000000,71.000000,0.000000
20111007.000000,457.000000,384.000000,2378.320942,2075.000000,1.020000,1440.000000,0.000000,0.000000
20111009.000000,549.000000,452.000000,2587.243799,2029.000000,1.000000,1438.000000,2.000000,0.000000
20111011.000000,470.000000,378.000000,2336.330586,2606.000000,1.290000,1342.000000,98.000000,0.000000
20111012.000000,384.000000,310.000000,2499.563320,2521.000000,1.250000,1371.000000,69.000000,0.000000
20111013.000000,376.000000,322.000000,2602.125163,2501.000000,1.240000,1386.000000,54.000000,0.000000
20111014.000000,382.000000,267.000000,2479.696195,2538.000000,1.260000,1360.000000,80.000000,0.000000
20111015.000000,485.000000,372.000000,2510.627780,2796.000000,1.390000,1356.000000,84.000000,0.000000
20111016.000000,484.000000,370.000000,2239.401625,2552.000000,1.260000,1394.000000,46.000000,0.000000
20111017.000000,527.000000,453.000000,2378.485305,2406.000000,1.210000,1373.000000,67.000000,0.000000
20111018.000000,310.000000,171.000000,2359.993905,2434.000000,1.220000,1360.000000,80.000000,0.000000
20111019.000000,567.000000,461.000000,2488.552489,2513.000000,1.260000,1373.000000,67.000000,0.000000
20111020.000000,421.000000,339.000000,2497.995610,2591.000000,1.300000,1359.000000,81.000000,0.000000
20111021.000000,420.000000,331.000000,2632.454762,2458.000000,1.240000,1371.000000,69.000000,0.000000
20111022.000000,442.000000,363.000000,2502.108145,2510.000000,1.260000,1391.000000,49.000000,0.000000
20111023.000000,525.000000,424.000000,2406.386090,2722.000000,1.370000,1346.000000,94.000000,0.000000
20111024.000000,532.000000,429.000000,2643.777342,2340.000000,1.180000,1395.000000,45.000000,0.000000
20111025.000000,416.000000,314.000000,2593.840619,2575.000000,1.300000,1358.000000,82.000000,0.000000
20111026.000000,482.000000,354.000000,2637.707982,2635.000000,1.330000,1348.000000,91.000000,1.000000
20111027.000000,409.000000,325.000000,2453.964734,2739.000000,1.380000,1328.000000,112.000000,0.000000
20111028.000000,250.000000,248.000000,2416.374048,2548.000000,1.280000,1355.000000,85.000000,0.000000
20111029.000000,378.000000,331.000000,2395.503684,2634.000000,1.330000,1370.000000,70.000000,0.000000
20111030.000000,671.000000,509.000000,2349.310723,2488.000000,1.250000,1381.000000,59.000000,0.000000
20111031.000000,443.000000,343.000000,2592.493229,2597.000000,1.310000,1361.000000,79.000000,0.000000
20111101.000000,459.000000,373.000000,2751.462597,2404.000000,1.210000,1376.000000,64.000000,0.000000
20111102.000000,502.000000,341.000000,2503.615854,2598.000000,1.310000,1360.000000,80.000000,0.000000
20111103.000000,450.000000,352.000000,2616.277274,2322.000000,1.170000,1386.000000,54.000000,0.000000
